ID	Fwy	Dir	District	County	City	State_PM	Abs_PM	Latitude	Longitude	Length	Type	Lanes	Name	User_ID_1	User_ID_2	User_ID_3	User_ID_4
1100313	5	N	11	73	66000	R22.324	22.215	32.79154	-117.20716		FR	1	CLAIREMONT DR	151			
1100323	5	N	11	73	66000	R34.142	34.033	32.950106	-117.243571		FR	2	DEL MAR HTS RD	13103			
1100326	5	N	11	73	66000	R36.232	36.123	32.979357	-117.252719		FR	2	VIA DE LA VALLE	130			
1100330	5	N	11	73	66000	R37.37	37.261	32.995494	-117.25635		FR	2	LOMAS SANTA FE	341			
1100333	5	N	11	73	22678	R38.54	38.431	33.010364	-117.26453		FR	1	MANCHESTER AVE	133			
1100340	5	N	11	73	11194	R47.165	47.056	33.12394	-117.32296		FR	3	PALOMAR AIRPORT RD	228			
1100348	5	S	11	73	66000	R18.931	18.822	32.746784	-117.191904		FR	1	OLD TOWN/HANCOCK	10411			
1100353	5	S	11	73	66000	R22.082	21.973	32.788012	-117.207155		FR	2	CLAIREMONT DR	241			
1100363	5	S	11	73	66000	R26.73	26.621	32.848532	-117.235725		FR	2	GILMAN DR to 5SB	16303			
1100369	5	S	11	73	66000	R28.464	28.355	32.87259	-117.229295		FR	2	LA JOLLA VILLAGE DR	123			
1100372	5	S	11	73	66000	R32.805	32.663	32.930855	-117.241058		FR	2	CARMEL VALLEY RD	12211			
1100377	5	S	11	73	66000	R34.311	34.169	32.952468	-117.244298		FR	2	DEL MAR HEIGHTS RD	13106			
1100381	5	S	11	73	66000	R36.278	36.136	32.979936	-117.253246		FR	2	VIA DE LA VALLE	13113			
1100384	5	S	11	73	66000	R37.397	37.255	32.995868	-117.256708		FR	2	LOMAS SANTA FE DR	340			
1100387	5	S	11	73	22678	R38.582	38.44	33.010653	-117.26524		FR	1	MANCHESTER AVE	13209			
1100390	5	S	11	73	22678	R39.827	39.685	33.02625	-117.274915		FR	1	BIRMINGHAM DR	109			
1100393	5	S	11	73	22678	R40.625	40.483	33.036347	-117.281649		FR	1	SANTA FE DR	110			
1100396	5	S	11	73	22678	R41.527	41.385	33.048438	-117.287351		FR	2	ENCINITAS BLVD	111			
1100407	5	S	11	73	11194	R47.097	46.955	33.122973	-117.322702		FR	2	PALOMAR AIRPORT RD	227			
1100416	8	E	11	73	66000	4.038	5.995	32.770348	-117.137456		FR	1	NB TEXAS ST	11107			
1100424	8	E	11	73	40004	10.2	12.157	32.773434	-117.036153		FR	2	COLLEGE AVE	18012			
1100434	8	W	11	73	66000	8.941	10.898	32.777651	-117.056226		FR	1	WARING RD	18003			
1100438	8	W	11	73	40004	10.154	12.111	32.773478	-117.036798		FR	1	COLLEGE AVE	18009			
1100442	8	W	11	73	40004	11.351	13.308	32.772389	-117.017569		FR	1	70TH/LAKE MURRAY	18106			
1100451	8	W	11	73	40004	11.624	13.581	32.774158	-117.013463		FR	1	JACKSON DR	32			
1100454	8	W	11	73	40004	12.133	14.09	32.777056	-117.005354		FR	2	LA MESA/GROSSMOUNT	78			
1100461	8	W	11	73	40004	12.405	14.362	32.778899	-117.001223		FR	1	SEVERIN DR	33			
1100475	8	W	11	73	21712	15.816	17.773	32.803149	-116.962095		FR	2	SB SR-67 CONNECTOR	37			
1100478	8	W	11	73	21712	16.453	18.41	32.803161	-116.951206		FR	2	MOLLISON AVE	38			
1100486	8	W	11	73		R19.926	21.883	32.82544	-116.905031		FR	2	CAM CANADA/LS COCHES	18406			
1100491	8	W	11	73		R21.881	23.838	32.844834	-116.880811		FR	2	LAKE JENNINGS PK RD	77			
1100498	15	N	11	73	66000	M13.267	13.524	32.87967	-117.107922		FR	1	MIRAMAR WAY	11810			
1100504	15	N	11	73	66000	M15.942	16.199	32.917072	-117.115831		FR	3	MIRA MESA BLVD	11910			
1100524	15	N	11	73	66000	M25.992	26.249	33.055354	-117.071497		FR	2	POMERADO/HIGHLAND	12704			
1100530	15	N	11	73	66000	R6.96	7.141	32.790215	-117.112989		FR	2	WB FRIARS RD	11405			
1100533	15	N	11	73	66000	R9.175	9.356	32.82201	-117.116084		FR	2	BALBOA AVE/SR-274	11503			
1100534	15	N	11	73	66000	R9.175	9.356	32.82201	-117.116084		FR	1	TIERRASANTA BLVD	11503			
1100538	15	N	11	73	66000	R9.963	10.144	32.833224	-117.118598		FR	2	CLAIREMONT MESA BLVD	11508			
1100542	15	S	11	73	66000	M14.876	15.123	32.901576	-117.116607		FR	2	CARROLL CANYON RD	11905			
1100549	15	S	11	73	66000	M14.356	14.603	32.894088	-117.115721		FR	2	MIRAMAR/POMERADO	11902			
1100553	15	S	11	73	66000	M15.964	16.211	32.917445	-117.116153		FR	2	MIRA MESA BLVD	11913			
1100560	15	S	11	73	66000	M18.245	18.492	32.949064	-117.105522		FR	2	POWAY/PENASQUITOS	12006			
1100568	15	S	11	73	66000	M21.826	22.073	32.996577	-117.083687		FR	2	CAMINO DEL NORTE	12509			
1100571	15	S	11	73	66000	M22.861	23.108	33.010949	-117.08016		FR	2	BERNARDO CENTER DR	12601			
1100575	15	S	11	73	66000	M23.819	24.066	33.024783	-117.079		FR	2	RANCHO BERNARDO RD	12606			
1100578	15	S	11	73	66000	M25.838	26.085	33.053304	-117.072601		FR	2	HIGHLAND VALLEY RD	12703			
1100586	15	S	11	73		R6.966	7.137	32.790292	-117.113213		FR	2	FRIARS RD	11404			
1100592	15	S	11	73	66000	R9.196	9.367	32.822271	-117.116575		FR	2	SR-274/BALBOA AVE	11502			
1100595	15	S	11	73	66000	R9.951	10.122	32.832989	-117.118962		FR	2	CLAIREMONT MESA BLVD	11507			
1100598	15	S	11	73		R28.621	28.868	33.090473	-117.080791		FR	2	CITRACADO PKWY	12801			
1100601	15	S	11	73		R29.97	30.217	33.106484	-117.093924		FR	2	AUTO PARK WAY/9TH	12805			
1100604	15	S	11	73	22804	R30.708	30.955	33.116146	-117.099574		FR	2	VALLEY PKWY	12808			
1100607	15	S	11	73		R32.727	32.974	33.144465	-117.104762		FR	2	EL NORTE PKWY	155			
1100681	78	W	11	73	68196	15.37	15.366	33.132967	-117.123177		FR	2	NORDAHL RD	13007			
1100697	94	E	11	73	66000	5.16	3.744	32.71801	-117.08462		FR	1	EUCLID AVE	49			
1100703	94	E	11	73	41124	8.36	6.944	32.744705	-117.041718		FR	2	MASSACHUSETTS AVE	127			
1100706	94	E	11	73	41124	9.01	7.594	32.74629	-117.030852		FR	2	LEMON GROVE AVE	126			
1100711	94	W	11	73	66000	2.235	.819	32.713318	-117.134145		FR	1	28TH ST	10504			
1100714	94	W	11	73	66000	2.621	1.205	32.714211	-117.127908		FR	1	32ND ST	10702			
1100729	94	W	11	73	66000	5.156	3.74	32.717955	-117.087127		FR	1	EUCLID AVE	10			
1100732	94	W	11	73	66000	5.614	4.198	32.720663	-117.080357		FR	1	KELTON RD & 56TH ST	11			
1100737	94	W	11	73	66000	7.24	5.824	32.734694	-117.057992		FR	1	COLLEGE GROVE WAY	13			
1100741	94	W	11	73	41124	7.76	6.344	32.740913	-117.052169		FR	2	COLLEGE AVE	14			
1100745	94	W	11	73	41124	8.142	6.726	32.74454	-117.047105		FR	1	MASSACHUSETTS AVE	15			
1100750	94	W	11	73	41124	8.87	7.454	32.745268	-117.035279		FR	1	LEMON GROVE AVE	17			
1100757	125	N	11	73		13.614	15.373	32.754424	-117.01021		FR	2	CAMPO RD/BROADWAY	48			
1100776	163	N	11	73	66000	8.746	8.195	32.831466	-117.141296		FR	2	CLAIREMONT MESA BLVD	11611			
1100781	163	N	11	73	66000	R10.811	10.26	32.854682	-117.119386		FR	1	KEARNY VILLA RD	11706			
1100787	163	S	11	73	66000	7.833	7.235	32.8195	-117.148074		FR	2	ARMOUR ST/MERCURY ST	11603			
1100790	163	S	11	73	66000	8.665	8.067	32.830482	-117.142066		FR	1	CLAIREMONT MESA BLVD	11610			
1100792	163	S	11	73	66000	8.906	8.308	32.833609	-117.140186		FR	2	CLAIREMONT MESA BLVD	11609			
1100796	163	S	11	73	66000	8.05	7.452	32.822354	-117.146524		FR	1	MERCURY ST	11605			
1100802	805	N	11	73	50398	10.36	10.211	32.67811	-117.084893		FR	2	PLAZA BLVD	91			
1100805	805	N	11	73	66000	11.44	11.291	32.691128	-117.094628		FR	2	47TH ST	15813			
1100810	805	N	11	73	66000	12.35	12.201	32.704271	-117.094872		FR	2	IMPERIAL AVE	88			
1100813	805	N	11	73	66000	13.208	13.059	32.714775	-117.102476		FR	2	MARKET ST	87			
1100823	805	N	11	73	66000	16.5	16.351	32.756285	-117.125123		FR	2	EL CAJON BLVD	10903			
1100839	805	N	11	73	66000	24.534	24.385	32.858916	-117.184886		FR	1	GOVERNOR DR	169			
1100850	805	S	11	73	66000	18.491	18.342	32.78192	-117.140068		FR	2	MURRAY RIDGE RD	11203			
1100860	805	S	11	73	66000	22.675	22.526	32.834806	-117.170551		FR	1	CLAIREMONT MESA BLVD	64			
1100863	805	S	11	73	66000	22.655	22.506	32.834544	-117.170401		FR	1	CLAIREMONT MESA BLVD	65			
1100865	805	S	11	73	66000	24.434	24.285	32.857504	-117.184358		FR	2	GOVERNOR DR	71			
1100868	805	S	11	73	66000	25.939	25.79	32.875201	-117.199467		FR	1	S805 LAJOLLA/MIRAMAR	73			
1100871	805	S	11	73	66000	25.941	25.792	32.875227	-117.199483		FR	1	EB MIRAMAR RD	72			
1107608	15	N	11	73	66000	M23.023	23.28	33.013247	-117.079485		FR	2	BERNARDO CENTER DR	12602			
1107611	15	N	11	73	66000	M23.688	23.945	33.022848	-117.078618		FR	3	RANCHO BERNARDO RD	12607			
1108148	15	S	11	73	66000	M14.876	15.123	32.901576	-117.116607	.513	ML	6	CARROLL CANYON RD	11905			
1108285	94	W	11	73	66000	2.235	.819	32.713318	-117.134145	.313	ML	4	28TH ST	10504			
1108286	94	W	11	73	66000	2.235	.819	32.713318	-117.134145		OR	1	28TH ST ONR TO WB 94	10504			
1108287	94	W	11	73	66000	2.621	1.205	32.714211	-117.127908	.319	ML	4	At 32nd St	10702			
1108288	94	W	11	73	66000	2.621	1.205	32.714211	-117.127908		OR	1	32ND ST ONR TO WB 94	10702			
1108289	94	W	11	73	66000	3.137	1.721	32.716724	-117.119831	.319	ML	4	At Southbound I-15	10704			
1108290	94	W	11	73	66000	3.137	1.721	32.716724	-117.119831		OR	2	15SB To 94WB	10704			
1108291	94	W	11	73	66000	3.26	1.844	32.717134	-117.117861	.206	ML	5	At Northbound I-15	10703			
1108292	94	W	11	73	66000	3.26	1.844	32.717134	-117.117861		OR	1	NB 15 TO WB 94	10703			
1108293	94	W	11	73	66000	3.55	2.134	32.717909	-117.113171	.36	ML	4	At Home Ave	10706			
1108294	94	W	11	73	66000	3.55	2.134	32.717909	-117.113171		OR	1	HOME AV ONR TO WB 94	10706			
1108295	94	W	11	73	66000	3.98	2.564	32.718507	-117.106173	.641	ML	4	At Northbound I-805	10707			
1108296	94	W	11	73	66000	3.98	2.564	32.718507	-117.106173		OR	2	NB 805 TO WB 94	10707			
1108297	94	W	11	73	66000	4.831	3.415	32.718104	-117.092449	.588	ML	5	At A St/49th St	15901			
1108299	125	N	11	73	40004	R15.269	17.02	32.77556	-117.002934	.283	ML	3	At Grossmont Blvd	9			
1108300	125	N	11	73	40004	R15.269	17.02	32.77556	-117.002934		OR	1	GROSSMT ONR TO N 125	9			
1108301	94	W	11	73	66000	5.156	3.74	32.717955	-117.087127		OR	1	EUCLID ONR TO WB 94	10			
1108302	94	W	11	73	66000	5.156	3.74	32.717955	-117.087127	.391	ML	4	WB 94 @ NB EUCLID	10			
1108303	94	W	11	73	66000	5.156	3.74	32.717955	-117.087127		OR	1	N EUCLID ONR TO W 94	10			
1108304	94	W	11	73	66000	5.614	4.198	32.720663	-117.080357	.525	ML	4	At Kelton Rd	11			
1108305	94	W	11	73	66000	5.614	4.198	32.720663	-117.080357		OR	2	56TH ST & KELTON RD	11			
